Setpoint,8V,Setpoint,8.25V,Setpoint,8.5V,Setpoint,9V,Setpoint,9.5V,Setpoint,10V,Setpoint,12V,,Voltage,Ideal
,,,,,,,,,,,,,,379,0.31004884,2.594550963
,,,,,,,,,,,,,,380,0.310866911,2.601396744
,,,,,,,,,,,,,,381,0.311684982,2.608242525
,,,,,,,,,,,,,,382,0.312503053,2.615088305
,,,,,,,,,,,,,,383,0.313321123,2.621934086
,,,,,,,,,,,,,,384,0.314139194,2.628779867
,,,,,,,,,,,,,,385,0.314957265,2.635625648
,,,,,,,,,,,,,,386,0.315775336,2.642471429
,,,,,,,,,,,,,,387,0.316593407,2.64931721
,,,,,,,,,,,,,,388,0.317411477,2.656162991
,,,,,,,,,,,,,,389,0.318229548,2.663008772
,,,,,,,,,,,,,,390,0.319047619,2.669854553
,,,,,,,,,,,,,,391,0.31986569,2.676700334
,,,,,,,,,,,,,,392,0.320683761,2.683546115
,,,,,,,,,,,,,,393,0.321501832,2.690391895
,,,,,,,,,,,,,,394,0.322319902,2.697237676
,,,,,,,,,,,,,,395,0.323137973,2.704083457
,,,,,,,,,,,,,,396,0.323956044,2.710929238
,,,,,,,,,,,,,,397,0.324774115,2.717775019
,,,,,,,,,,,,,,398,0.325592186,2.7246208
,,,,,,,,,,,,,,399,0.326410256,2.731466581
,,,,,,,,,,,,,,400,0.327228327,2.738312362
,,,,,,,,,,,,,,401,0.328046398,2.745158143
,,,,,,,,,,,,,,402,0.328864469,2.752003924
,,,,,,,,,,,,,,403,0.32968254,2.758849704
,,,,,,,,,,,,,,404,0.330500611,2.765695485
,,,,,,,,,,,,,,405,0.331318681,2.772541266
,,,,,,,,,,,,,,406,0.332136752,2.779387047
,,,,,,,,,,,,,,407,0.332954823,2.786232828
,,,,,,,,,,,,,,408,0.333772894,2.793078609
,,,,,,,,,,,,,,409,0.334590965,2.79992439
,,,,,,,,,,,,,,410,0.335409035,2.806770171
,,,,,,,,,,,,,,411,0.336227106,2.813615952
,,,,,,,,,,,,,,412,0.337045177,2.820461733
,,,,,,,,,,,,,,413,0.337863248,2.827307513
,,,,,,,,,,,,,,414,0.338681319,2.834153294
,,,,,,,,,,,,,,415,0.339499389,2.840999075
,,,,,,,,,,,,,,416,0.34031746,2.847844856
,,,,,,,,,,,,,,417,0.341135531,2.854690637
,,,,,,,,,,,,,,418,0.341953602,2.861536418
,,,,,,,,,,,,,,419,0.342771673,2.868382199
,,,,,,,,,,,,,,420,0.343589744,2.87522798
,,,,,,,,,,,,,,421,0.344407814,2.882073761
,,,,,,,,,,,,,,422,0.345225885,2.888919542
,,,,,,,,,,,,,,423,0.346043956,2.895765323
,,,,,,,,,,,,,,424,0.346862027,2.902611103
,,,,,,,,,,,,,,425,0.347680098,2.909456884
,,,,,,,,,,,,,,426,0.348498168,2.916302665
,,,,,,,,,,,,,,427,0.349316239,2.923148446
,,,,,,,,,,,,,,428,0.35013431,2.929994227
,,,,,,,,,,,,,,429,0.350952381,2.936840008
,,,,,,,,,,,,,,430,0.351770452,2.943685789
,,,,,,,,,,,,,,431,0.352588523,2.95053157
,,,,,,,,,,,,,,432,0.353406593,2.957377351
,,,,,,,,,,,,,,433,0.354224664,2.964223132
,,,,,,,,,,,,,,434,0.355042735,2.971068912
,,,,,,,,,,,,,,435,0.355860806,2.977914693
,,,,,,,,,,,,,,436,0.356678877,2.984760474
,,,,,,,,,,,,,,437,0.357496947,2.991606255
,,,,,,,,,,,,,,438,0.358315018,2.998452036
,,,,,,,,,,,,,,439,0.359133089,3.005297817
,,,,,,,,,,,,,,440,0.35995116,3.012143598
,,,,,,,,,,,,,,441,0.360769231,3.018989379
,,,,,,,,,,,,,,442,0.361587302,3.02583516
,,,,,,,,,,,,,,443,0.362405372,3.032680941
,,,,,,,,,,,,,,444,0.363223443,3.039526722
,,,,,,,,,,,,,,445,0.364041514,3.046372502
,,,,,,,,,,,,,,446,0.364859585,3.053218283
,,,,,,,,,,,,,,447,0.365677656,3.060064064
,,,,,,,,,,,,,,448,0.366495726,3.066909845
,,,,,,,,,,,,,,449,0.367313797,3.073755626
,,,,,,,,,,,,,,450,0.368131868,3.080601407
,,,,,,,,,,,,,,451,0.368949939,3.087447188
,,,,,,,,,,,,,,452,0.36976801,3.094292969
,,,,,,,,,,,,,,453,0.370586081,3.10113875
,,,,,,,,,,,,,,454,0.371404151,3.107984531
,,,,,,,,,,,,,,455,0.372222222,3.114830311
,,,,,,,,,,,,,,456,0.373040293,3.121676092
,,,,,,,,,,,,,,457,0.373858364,3.128521873
,,,,,,,,,,,,,,458,0.374676435,3.135367654
,,,,,,,,,,,,,,459,0.375494505,3.142213435
,,,,,,,,,,,,,,460,0.376312576,3.149059216
,,,,,,,,,,,,,,461,0.377130647,3.155904997
,,,,,,,,,,,,,,462,0.377948718,3.162750778
,,,,,,,,,,,,,,463,0.378766789,3.169596559
,,,,,,,,,,,,,,464,0.37958486,3.17644234
,,,,,,,,,,,,,,465,0.38040293,3.183288121
,,,,,,,,,,,,,,466,0.381221001,3.190133901
,,,,,,,,,,,,,,467,0.382039072,3.196979682
,,,,,,,,,,,,,,468,0.382857143,3.203825463
,,,,,,,,,,,,,,469,0.383675214,3.210671244
,,,,,,,,,,,,,,470,0.384493284,3.217517025
,,,,,,,,,,,,,,471,0.385311355,3.224362806
,,,,,,,,,,,,,,472,0.386129426,3.231208587
,,,,,,,,,,,,,,473,0.386947497,3.238054368
,,,,,,,,,,,,,,474,0.387765568,3.244900149
,,,,,,,,,,,,,,475,0.388583639,3.25174593
,,,,,,,,,,,,,,476,0.389401709,3.25859171
,,,,,,,,,,,,,,477,0.39021978,3.265437491
,,,,,,,,,,,,,,478,0.391037851,3.272283272
,,,,,,,,,,,,,,479,0.391855922,3.279129053
,,,,,,,,,,,,,,480,0.392673993,3.285974834
,,,,,,,,,,,,,,481,0.393492063,3.292820615
,,,,,,,,,,,,,,482,0.394310134,3.299666396
,,,,,,,,,,,,,,483,0.395128205,3.306512177
,,,,,,,,,,,,,,484,0.395946276,3.313357958
,,,,,,,,,,,,,,485,0.396764347,3.320203739
,,,,,,,,,,,,,,486,0.397582418,3.32704952
,,,,,,,,,,,,,,487,0.398400488,3.3338953
,,,,,,,,,,,,,,488,0.399218559,3.340741081
,,,,,,,,,,,,,,489,0.40003663,3.347586862
,,,,,,,,,,,,,,490,0.400854701,3.354432643
,,,,,,,,,,,,,,491,0.401672772,3.361278424
,,,,,,,,,,,,,,492,0.402490842,3.368124205
,,,,,,,,,,,,,,493,0.403308913,3.374969986
,,,,,,,,,,,,,,494,0.404126984,3.381815767
,,,,,,,,,,,,,,495,0.404945055,3.388661548
,,,,,,,,,,,,,,496,0.405763126,3.395507329
,,,,,,,,,,,,,,497,0.406581197,3.402353109
,,,,,,,,,,,,,,498,0.407399267,3.40919889
,,,,,,,,,,,,,,499,0.408217338,3.416044671
,,,,,,,,,,,,,,500,0.409035409,3.422890452
,,,,,,,,,,,,,,501,0.40985348,3.429736233
,,,,,,,,,,,,,,502,0.410671551,3.436582014
,,,,,,,,,,,,,,503,0.411489621,3.443427795
,,,,,,,,,,,,,,504,0.412307692,3.450273576
,,,,,,,,,,,,,,505,0.413125763,3.457119357
,,,,,,,,,,,,,,506,0.413943834,3.463965138
,,,,,,,,,,,,,,507,0.414761905,3.470810919
,,,,,,,,,,,,,,508,0.415579976,3.477656699
,,,,,,,,,,,,,,509,0.416398046,3.48450248
,,,,,,,,,,,,,,510,0.417216117,3.491348261
,,,,,,,,,,,,,,511,0.418034188,3.498194042
,,,,,,,,,,,,,,512,0.418852259,3.505039823
,,,,,,,,,,,,,,513,0.41967033,3.511885604
,,,,,,,,,,,,,,514,0.4204884,3.518731385
,,,,,,,,,,,,,,515,0.421306471,3.525577166
,,,,,,,,,,,,,,516,0.422124542,3.532422947
,,,,,,,,,,,,,,517,0.422942613,3.539268728
,,,,,,,,,,,,,,518,0.423760684,3.546114508
,,,,,,,,,,,,,,519,0.424578755,3.552960289
,,,,,,,,,,,,,,520,0.425396825,3.55980607
,,,,,,,,,,,,,,521,0.426214896,3.566651851
,,,,,,,,,,,,,,522,0.427032967,3.573497632
,,,,,,,,,,,,,,523,0.427851038,3.580343413
,,,,,,,,,,,,,,524,0.428669109,3.587189194
,,,,,,,,,,,,,,525,0.429487179,3.594034975
,,,,,,,,,,,,,,526,0.43030525,3.600880756
,,,,,,,,,,,,,,527,0.431123321,3.607726537
,,,,,,,,,,,,,,528,0.431941392,3.614572318
,,,,,,,,,,,,,,529,0.432759463,3.621418098
,,,,,,,,,,,,,,530,0.433577534,3.628263879
,,,,,,,,,,,,,,531,0.434395604,3.63510966
,,,,,,,,,,,,,,532,0.435213675,3.641955441
,,,,,,,,,,,,,,533,0.436031746,3.648801222
,,,,,,,,,,,,,,534,0.436849817,3.655647003
,,,,,,,,,,,,,,535,0.437667888,3.662492784
,,,,,,,,,,,,,,536,0.438485958,3.669338565
,,,,,,,,,,,,,,537,0.439304029,3.676184346
,,,,,,,,,,,,,,538,0.4401221,3.683030127
,,,,,,,,,,,,,,539,0.440940171,3.689875907
,,,,,,,,,,,,,,540,0.441758242,3.696721688
,,,,,,,,,,,,,,541,0.442576313,3.703567469
,,,,,,,,,,,,,,542,0.443394383,3.71041325
,,,,,,,,,,,,,,543,0.444212454,3.717259031
,,,,,,,,,,,,,,544,0.445030525,3.724104812
,,,,,,,,,,,,,,545,0.445848596,3.730950593
,,,,,,,,,,,,,,546,0.446666667,3.737796374
,,,,,,,,,,,,,,547,0.447484737,3.744642155
,,,,,,,,,,,,,,548,0.448302808,3.751487936
,,,,,,,,,,,,,,549,0.449120879,3.758333716
,,,,,,,,,,,,,,550,0.44993895,3.765179497
,,,,,,,,,,,,,,551,0.450757021,3.772025278
,,,,,,,,,,,,,,552,0.451575092,3.778871059
,,,,,,,,,,,,,,553,0.452393162,3.78571684
,,,,,,,,,,,,,,554,0.453211233,3.792562621
,,,,,,,,,,,,,,555,0.454029304,3.799408402
,,,,,,,,,,,,,,556,0.454847375,3.806254183
,,,,,,,,,,,,,,557,0.455665446,3.813099964
,,,,,,,,,,,,,,558,0.456483516,3.819945745
,,,,,,,,,,,,,,559,0.457301587,3.826791526
,,,,,,,,,,,,,,560,0.458119658,3.833637306
,,,,,,,,,,,,,,561,0.458937729,3.840483087
,,,,,,,,,,,,,,562,0.4597558,3.847328868
,,,,,,,,,,,,,,563,0.460573871,3.854174649
,,,,,,,,,,,,,,564,0.461391941,3.86102043
,,,,,,,,,,,,,,565,0.462210012,3.867866211
,,,,,,,,,,,,,,566,0.463028083,3.874711992
,,,,,,,,,,,,,,567,0.463846154,3.881557773
,,,,,,,,,,,,,,568,0.464664225,3.888403554
,,,,,,,,,,,,,,569,0.465482295,3.895249335
,,,,,,,,,,,,,,570,0.466300366,3.902095115
,,,,,,,,,,,,,,571,0.467118437,3.908940896
,,,,,,,,,,,,,,572,0.467936508,3.915786677
,,,,,,,,,,,,,,573,0.468754579,3.922632458
,,,,,,,,,,,,,,574,0.46957265,3.929478239
,,,,,,,,,,,,,,575,0.47039072,3.93632402
,,,,,,,,,,,,,,576,0.471208791,3.943169801
,,,,,,,,,,,,,,577,0.472026862,3.950015582
,,,,,,,,,,,,,,578,0.472844933,3.956861363
,,,,,,,,,,,,,,579,0.473663004,3.963707144
,,,,,,,,,,,,,,580,0.474481074,3.970552925
,,,,,,,,,,,,,,581,0.475299145,3.977398705
,,,,,,,,,,,,,,582,0.476117216,3.984244486
,,,,,,,,,,,,,,583,0.476935287,3.991090267
,,,,,,,,,,,,,,584,0.477753358,3.997936048
,,,,,,,,,,,,,,585,0.478571429,4.004781829
,,,,,,,,,,,,,,586,0.479389499,4.01162761
,,,,,,,,,,,,,,587,0.48020757,4.018473391
,,,,,,,,,,,,,,588,0.481025641,4.025319172
,,,,,,,,,,,,,,589,0.481843712,4.032164953
,,,,,,,,,,,,,,590,0.482661783,4.039010734
,,,,,,,,,,,,,,591,0.483479853,4.045856514
,,,,,,,,,,,,,,592,0.484297924,4.052702295
,,,,,,,,,,,,,,593,0.485115995,4.059548076
,,,,,,,,,,,,,,594,0.485934066,4.066393857
,,,,,,,,,,,,,,595,0.486752137,4.073239638
,,,,,,,,,,,,,,596,0.487570208,4.080085419
,,,,,,,,,,,,,,597,0.488388278,4.0869312
,,,,,,,,,,,,,,598,0.489206349,4.093776981
,,,,,,,,,,,,,,599,0.49002442,4.100622762
,,,,,,,,,,,,,,600,0.490842491,4.107468543
,,,,,,,,,,,,,,601,0.491660562,4.114314324
,,,,,,,,,,,,,,602,0.492478632,4.121160104
,,,,,,,,,,,,,,603,0.493296703,4.128005885
,,,,,,,,,,,,,,604,0.494114774,4.134851666
,,,,,,,,,,,,,,605,0.494932845,4.141697447
,,,,,,,,,,,,,,606,0.495750916,4.148543228
,,,,,,,,,,,,,,607,0.496568987,4.155389009
,,,,,,,,,,,,,,608,0.497387057,4.16223479
,,,,,,,,,,,,,,609,0.498205128,4.169080571
,,,,,,,,,,,,,,610,0.499023199,4.175926352
,,,,,,,,,,,,,,611,0.49984127,4.182772133
,,,,,,,,,,,,,,612,0.500659341,4.189617913
,,,,,,,,,,,,,,613,0.501477411,4.196463694
,,,,,,,,,,,,,,614,0.502295482,4.203309475
,,,,,,,,,,,,,,615,0.503113553,4.210155256
,,,,,,,,,,,,,,616,0.503931624,4.217001037
,,,,,,,,,,,,,,617,0.504749695,4.223846818
,,,,,,,,,,,,,,618,0.505567766,4.230692599
,,,,,,,,,,,,,,619,0.506385836,4.23753838
,,,,,,,,,,,,,,620,0.507203907,4.244384161
,,,,,,,,,,,,,,621,0.508021978,4.251229942
,,,,,,,,,,,,,,622,0.508840049,4.258075723
,,,,,,,,,,,,,,623,0.50965812,4.264921503
,,,,,,,,,,,,,,624,0.51047619,4.271767284
,,,,,,,,,,,,,,625,0.511294261,4.278613065
,,,,,,,,,,,,,,626,0.512112332,4.285458846
,,,,,,,,,,,,,,627,0.512930403,4.292304627
,,,,,,,,,,,,,,628,0.513748474,4.299150408
,,,,,,,,,,,,,,629,0.514566545,4.305996189
,,,,,,,,,,,,,,630,0.515384615,4.31284197
,,,,,,,,,,,,,,631,0.516202686,4.319687751
,,,,,,,,,,,,,,632,0.517020757,4.326533532
,,,,,,,,,,,,,,633,0.517838828,4.333379312
,,,,,,,,,,,,,,634,0.518656899,4.340225093
,,,,,,,,,,,,,,635,0.519474969,4.347070874
,,,,,,,,,,,,,,636,0.52029304,4.353916655
,,,,,,,,,,,,,,637,0.521111111,4.360762436
,,,,,,,,,,,,,,638,0.521929182,4.367608217
,,,,,,,,,,,,,,639,0.522747253,4.374453998
,,,,,,,,,,,,,,640,0.523565324,4.381299779
,,,,,,,,,,,,,,641,0.524383394,4.38814556
,,,,,,,,,,,,,,642,0.525201465,4.394991341
,,,,,,,,,,,,,,643,0.526019536,4.401837122
,,,,,,,,,,,,,,644,0.526837607,4.408682902
,,,,,,,,,,,,,,645,0.527655678,4.415528683
,,,,,,,,,,,,,,646,0.528473748,4.422374464
,,,,,,,,,,,,,,647,0.529291819,4.429220245
,,,,,,,,,,,,,,648,0.53010989,4.436066026
,,,,,,,,,,,,,,649,0.530927961,4.442911807
,,,,,,,,,,,,,,650,0.531746032,4.449757588
,,,,,,,,,,,,,,651,0.532564103,4.456603369
,,,,,,,,,,,,,,652,0.533382173,4.46344915
,,,,,,,,,,,,,,653,0.534200244,4.470294931
,,,,,,,,,,,,,,654,0.535018315,4.477140711
,,,,,,,,,,,,,,655,0.535836386,4.483986492
,,,,,,,,,,,,,,656,0.536654457,4.490832273
,,,,,,,,,,,,,,657,0.537472527,4.497678054
,,,,,,,,,,,,,,658,0.538290598,4.504523835
,,,,,,,,,,,,,,659,0.539108669,4.511369616
,,,,,,,,,,,,,,660,0.53992674,4.518215397
,,,,,,,,,,,,,,661,0.540744811,4.525061178
,,,,,,,,,,,,,,662,0.541562882,4.531906959
,,,,,,,,,,,,,,663,0.542380952,4.53875274
,,,,,,,,,,,,,,664,0.543199023,4.54559852
,,,,,,,,,,,,,,665,0.544017094,4.552444301
,,,,,,,,,,,,,,666,0.544835165,4.559290082
,,,,,,,,,,,,,,667,0.545653236,4.566135863
,,,,,,,,,,,,,,668,0.546471306,4.572981644
,,,,,,,,,,,,,,669,0.547289377,4.579827425
,,,,,,,,,,,,,,670,0.548107448,4.586673206
,,,,,,,,,,,,,,671,0.548925519,4.593518987
,,,,,,,,,,,,,,672,0.54974359,4.600364768
,,,,,,,,,,,,,,673,0.550561661,4.607210549
,,,,,,,,,,,,,,674,0.551379731,4.61405633
,,,,,,,,,,,,,,675,0.552197802,4.62090211
,,,,,,,,,,,,,,676,0.553015873,4.627747891
,,,,,,,,,,,,,,677,0.553833944,4.634593672
,,,,,,,,,,,,,,678,0.554652015,4.641439453
,,,,,,,,,,,,,,679,0.555470085,4.648285234
,,,,,,,,,,,,,,680,0.556288156,4.655131015
,,,,,,,,,,,,,,681,0.557106227,4.661976796
,,,,,,,,,,,,,,682,0.557924298,4.668822577
,,,,,,,,,,,,,,683,0.558742369,4.675668358
,,,,,,,,,,,,,,684,0.55956044,4.682514139
,,,,,,,,,,,,,,685,0.56037851,4.689359919
,,,,,,,,,,,,,,686,0.561196581,4.6962057
,,,,,,,,,,,,,,687,0.562014652,4.703051481
,,,,,,,,,,,,,,688,0.562832723,4.709897262
,,,,,,,,,,,,,,689,0.563650794,4.716743043
,,,,,,,,,,,,,,690,0.564468864,4.723588824
,,,,,,,,,,,,,,691,0.565286935,4.730434605
,,,,,,,,,,,,,,692,0.566105006,4.737280386
,,,,,,,,,,,,,,693,0.566923077,4.744126167
,,,,,,,,,,,,,,694,0.567741148,4.750971948
,,,,,,,,,,,,,,695,0.568559219,4.757817729
,,,,,,,,,,,,,,696,0.569377289,4.764663509
,,,,,,,,,,,,,,697,0.57019536,4.77150929
,,,,,,,,,,,,,,698,0.571013431,4.778355071
,,,,,,,,,,,,,,699,0.571831502,4.785200852
,,,,,,,,,,,,,,700,0.572649573,4.792046633
,,,,,,,,,,,,,,701,0.573467643,4.798892414
,,,,,,,,,,,,,,702,0.574285714,4.805738195
,,,,,,,,,,,,,,703,0.575103785,4.812583976
,,,,,,,,,,,,,,704,0.575921856,4.819429757
,,,,,,,,,,,,,,705,0.576739927,4.826275538
,,,,,,,,,,,,,,706,0.577557998,4.833121318
,,,,,,,,,,,,,,707,0.578376068,4.839967099
,,,,,,,,,,,,,,708,0.579194139,4.84681288
,,,,,,,,,,,,,,709,0.58001221,4.853658661
,,,,,,,,,,,,,,710,0.580830281,4.860504442
,,,,,,,,,,,,,,711,0.581648352,4.867350223
,,,,,,,,,,,,,,712,0.582466422,4.874196004
,,,,,,,,,,,,,,713,0.583284493,4.881041785
,,,,,,,,,,,,,,714,0.584102564,4.887887566
,,,,,,,,,,,,,,715,0.584920635,4.894733347
,,,,,,,,,,,,,,716,0.585738706,4.901579128
,,,,,,,,,,,,,,717,0.586556777,4.908424908
,,,,,,,,,,,,,,718,0.587374847,4.915270689
,,,,,,,,,,,,,,719,0.588192918,4.92211647
,,,,,,,,,,,,,,720,0.589010989,4.928962251
,,,,,,,,,,,,,,721,0.58982906,4.935808032
,,,,,,,,,,,,,,722,0.590647131,4.942653813
,,,,,,,,,,,,,,723,0.591465201,4.949499594
,,,,,,,,,,,,,,724,0.592283272,4.956345375
,,,,,,,,,,,,,,725,0.593101343,4.963191156
,,,,,,,,,,,,,,726,0.593919414,4.970036937
,,,,,,,,,,,,,,727,0.594737485,4.976882717
,,,,,,,,,,,,,,728,0.595555556,4.983728498
,,,,,,,,,,,,,,729,0.596373626,4.990574279
,,,,,,,,,,,,,,730,0.597191697,4.99742006
,,,,,,,,,,,,,,731,0.598009768,5.004265841
,,,,,,,,,,,,,,732,0.598827839,5.011111622
,,,,,,,,,,,,,,733,0.59964591,5.017957403
,,,,,,,,,,,,,,734,0.60046398,5.024803184
,,,,,,,,,,,,,,735,0.601282051,5.031648965
,,,,,,,,,,,,,,736,0.602100122,5.038494746
,,,,,,,,,,,,,,737,0.602918193,5.045340527
,,,,,,,,,,,,,,738,0.603736264,5.052186307
,,,,,,,,,,,,,,739,0.604554335,5.059032088
,,,,,,,,,,,,,,740,0.605372405,5.065877869
,,,,,,,,,,,,,,741,0.606190476,5.07272365
,,,,,,,,,,,,,,742,0.607008547,5.079569431
,,,,,,,,,,,,,,743,0.607826618,5.086415212
,,,,,,,,,,,,,,744,0.608644689,5.093260993
,,,,,,,,,,,,,,745,0.609462759,5.100106774
,,,,,,,,,,,,,,746,0.61028083,5.106952555
,,,,,,,,,,,,,,747,0.611098901,5.113798336
,,,,,,,,,,,,,,748,0.611916972,5.120644116
,,,,,,,,,,,,,,749,0.612735043,5.127489897
,,,,,,,,,,,,,,750,0.613553114,5.134335678
,,,,,,,,,,,,,,751,0.614371184,5.141181459
,,,,,,,,,,,,,,752,0.615189255,5.14802724
,,,,,,,,,,,,,,753,0.616007326,5.154873021
,,,,,,,,,,,,,,754,0.616825397,5.161718802
,,,,,,,,,,,,,,755,0.617643468,5.168564583
,,,,,,,,,,,,,,756,0.618461538,5.175410364
,,,,,,,,,,,,,,757,0.619279609,5.182256145
,,,,,,,,,,,,,,758,0.62009768,5.189101926
,,,,,,,,,,,,,,759,0.620915751,5.195947706
,,,,,,,,,,,,,,760,0.621733822,5.202793487
,,,,,,,,,,,,,,761,0.622551893,5.209639268
,,,,,,,,,,,,,,762,0.623369963,5.216485049
,,,,,,,,,,,,,,763,0.624188034,5.22333083
,,,,,,,,,,,,,,764,0.625006105,5.230176611
,,,,,,,,,,,,,,765,0.625824176,5.237022392
,,,,,,,,,,,,,,766,0.626642247,5.243868173
,,,,,,,,,,,,,,767,0.627460317,5.250713954
,,,,,,,,,,,,,,768,0.628278388,5.257559735
,,,,,,,,,,,,,,769,0.629096459,5.264405515
,,,,,,,,,,,,,,770,0.62991453,5.271251296
,,,,,,,,,,,,,,771,0.630732601,5.278097077
,,,,,,,,,,,,,,772,0.631550672,5.284942858
,,,,,,,,,,,,,,773,0.632368742,5.291788639
,,,,,,,,,,,,,,774,0.633186813,5.29863442
,,,,,,,,,,,,,,775,0.634004884,5.305480201
,,,,,,,,,,,,,,776,0.634822955,5.312325982
,,,,,,,,,,,,,,777,0.635641026,5.319171763
,,,,,,,,,,,,,,778,0.636459096,5.326017544
,,,,,,,,,,,,,,779,0.637277167,5.332863324
,,,,,,,,,,,,,,780,0.638095238,5.339709105
,,,,,,,,,,,,,,781,0.638913309,5.346554886
,,,,,,,,,,,,,,782,0.63973138,5.353400667
,,,,,,,,,,,,,,783,0.640549451,5.360246448
,,,,,,,,,,,,,,784,0.641367521,5.367092229
,,,,,,,,,,,,,,785,0.642185592,5.37393801
,,,,,,,,,,,,,,786,0.643003663,5.380783791
,,,,,,,,,,,,,,787,0.643821734,5.387629572
,,,,,,,,,,,,,,788,0.644639805,5.394475353
,,,,,,,,,,,,,,789,0.645457875,5.401321134
,,,,,,,,,,,,,,790,0.646275946,5.408166914
,,,,,,,,,,,,,,791,0.647094017,5.415012695
,,,,,,,,,,,,,,792,0.647912088,5.421858476
,,,,,,,,,,,,,,793,0.648730159,5.428704257
,,,,,,,,,,,,,,794,0.64954823,5.435550038
,,,,,,,,,,,,,,795,0.6503663,5.442395819
,,,,,,,,,,,,,,796,0.651184371,5.4492416
,,,,,,,,,,,,,,797,0.652002442,5.456087381
,,,,,,,,,,,,,,798,0.652820513,5.462933162
,,,,,,,,,,,,,,799,0.653638584,5.469778943
,,,,,,,,,,,,,,800,0.654456654,5.476624723
,,,,,,,,,,,,,,801,0.655274725,5.483470504
,,,,,,,,,,,,,,802,0.656092796,5.490316285
,,,,,,,,,,,,,,803,0.656910867,5.497162066
,,,,,,,,,,,,,,804,0.657728938,5.504007847
,,,,,,,,,,,,,,805,0.658547009,5.510853628
,,,,,,,,,,,,,,806,0.659365079,5.517699409
,,,,,,,,,,,,,,807,0.66018315,5.52454519
,,,,,,,,,,,,,,808,0.661001221,5.531390971
,,,,,,,,,,,,,,809,0.661819292,5.538236752
,,,,,,,,,,,,,,810,0.662637363,5.545082533
,,,,,,,,,,,,,,811,0.663455433,5.551928313
,,,,,,,,,,,,,,812,0.664273504,5.558774094
,,,,,,,,,,,,,,813,0.665091575,5.565619875
,,,,,,,,,,,,,,814,0.665909646,5.572465656
,,,,,,,,,,,,,,815,0.666727717,5.579311437
,,,,,,,,,,,,,,816,0.667545788,5.586157218
,,,,,,,,,,,,,,817,0.668363858,5.593002999
,,,,,,,,,,,,,,818,0.669181929,5.59984878
,,,,,,,,,,,,,,819,0.67,5.606694561
,,,,,,,,,,,,,,820,0.670818071,5.613540342
,,,,,,,,,,,,,,821,0.671636142,5.620386122
,,,,,,,,,,,,,,822,0.672454212,5.627231903
,,,,,,,,,,,,,,823,0.673272283,5.634077684
,,,,,,,,,,,,,,824,0.674090354,5.640923465
,,,,,,,,,,,,,,825,0.674908425,5.647769246
,,,,,,,,,,,,,,826,0.675726496,5.654615027
,,,,,,,,,,,,,,827,0.676544567,5.661460808
,,,,,,,,,,,,,,828,0.677362637,5.668306589
,,,,,,,,,,,,,,829,0.678180708,5.67515237
,,,,,,,,,,,,,,830,0.678998779,5.681998151
,,,,,,,,,,,,,,831,0.67981685,5.688843932
,,,,,,,,,,,,,,832,0.680634921,5.695689712
,,,,,,,,,,,,,,833,0.681452991,5.702535493
,,,,,,,,,,,,,,834,0.682271062,5.709381274
,,,,,,,,,,,,,,835,0.683089133,5.716227055
,,,,,,,,,,,,,,836,0.683907204,5.723072836
,,,,,,,,,,,,,,837,0.684725275,5.729918617
,,,,,,,,,,,,,,838,0.685543346,5.736764398
,,,,,,,,,,,,,,839,0.686361416,5.743610179
,,,,,,,,,,,,,,840,0.687179487,5.75045596
,,,,,,,,,,,,,,841,0.687997558,5.757301741
,,,,,,,,,,,,,,842,0.688815629,5.764147521
,,,,,,,,,,,,,,843,0.6896337,5.770993302
,,,,,,,,,,,,,,844,0.69045177,5.777839083
,,,,,,,,,,,,,,845,0.691269841,5.784684864
,,,,,,,,,,,,,,846,0.692087912,5.791530645
,,,,,,,,,,,,,,847,0.692905983,5.798376426
,,,,,,,,,,,,,,848,0.693724054,5.805222207
,,,,,,,,,,,,,,849,0.694542125,5.812067988
,,,,,,,,,,,,,,850,0.695360195,5.818913769
,,,,,,,,,,,,,,851,0.696178266,5.82575955
,,,,,,,,,,,,,,852,0.696996337,5.832605331
,,,,,,,,,,,,,,853,0.697814408,5.839451111
,,,,,,,,,,,,,,854,0.698632479,5.846296892
,,,,,,,,,,,,,,855,0.699450549,5.853142673
,,,,,,,,,,,,,,856,0.70026862,5.859988454
,,,,,,,,,,,,,,857,0.701086691,5.866834235
,,,,,,,,,,,,,,858,0.701904762,5.873680016
,,,,,,,,,,,,,,859,0.702722833,5.880525797
,,,,,,,,,,,,,,860,0.703540904,5.887371578
,,,,,,,,,,,,,,861,0.704358974,5.894217359
,,,,,,,,,,,,,,862,0.705177045,5.90106314
,,,,,,,,,,,,,,863,0.705995116,5.90790892
,,,,,,,,,,,,,,864,0.706813187,5.914754701
,,,,,,,,,,,,,,865,0.707631258,5.921600482
,,,,,,,,,,,,,,866,0.708449328,5.928446263
,,,,,,,,,,,,,,867,0.709267399,5.935292044
,,,,,,,,,,,,,,868,0.71008547,5.942137825
,,,,,,,,,,,,,,869,0.710903541,5.948983606
,,,,,,,,,,,,,,870,0.711721612,5.955829387
,,,,,,,,,,,,,,871,0.712539683,5.962675168
,,,,,,,,,,,,,,872,0.713357753,5.969520949
,,,,,,,,,,,,,,873,0.714175824,5.97636673
,,,,,,,,,,,,,,874,0.714993895,5.98321251
,,,,,,,,,,,,,,875,0.715811966,5.990058291
